Genotype	EV_V6	PH_V6	PH_final	DtSILK	RL_R6
DH_KE0070	2.78136827558398	36.8596185310575	118.725784870625	82.9036543141883	1.28532214662893
DH_KE0071	4.90032856301952	76.4630329689209	139.536260008113	74.5620953321219	1.0472616649379
DH_KE0072	4.0587781801884	59.7626615622944	115.452916287247	76.0715058904601	0.9155132699072
DH_KE0073	4.98978951046943	73.2295264824597	128.60556856631	73.027613252775	1.69528960933382
DH_KE0074	5.17466985486176	70.5470034646483	133.567847761461	79.983562996729	2.94581895111749
DH_KE0075	5.32501477718243	75.0929680041053	160.794550711559	80.024919554216	2.8545134756357
DH_KE0076	5.48208057285233	74.8653858897327	145.38834666982	69.9953495677305	6.140757874145
DH_KE0078	5.07117140501312	72.9800624424355	105.255584653645	81.1814545276448	1.31006795235585
DH_KE0079	3.51637084258469	55.4360225999704	111.272249168396	79.3188909909703	1.0013119125288
DH_KE0080	5.8293265839211	71.6933743712165	161.880051506394	76.6715158235096	1.47971133223695
DH_KE0081	4.89973625594431	69.337403639054	150.440665976663	80.389764125679	2.16470305126092
DH_KE0082	3.63572272885635	63.0250125173472	113.559296040813	76.8295524337366	1.02355527942139
DH_KE0083	4.12667274738547	53.4855788433215	128.574601895519	80.7756979246251	1.76222540210803
DH_KE0084	5.75694258365765	66.9708785063302	148.910879309287	80.9706622079339	2.32905773180882
DH_KE0085	4.48428982371036	70.1801358706937	146.136895366109	74.8728964464435	7.52805307432759
DH_KE0086	6.03469479324746	72.8696337373879	121.043249386204	67.6967834376754	0.995079132085698
DH_KE0088	3.37846837629984	51.0327438511107	108.557782768473	77.4687006447176	2.8539189074344
DH_KE0089	4.42190084961991	61.1836344262278	111.659759589567	79.3127982743214	1.63914624013115
DH_KE0090	3.18736469691374	48.7438976067181	140.770521205502	80.6347713010933	3.60784799647492
DH_KE0091	3.48834870730872	65.0269634918321	128.588125627462	76.8243082446731	0.92228485528333
DH_KE0092	6.56420233562237	72.3705670530138	126.049125999154	68.2096802791702	1.86766772780297
DH_KE0093	5.67029064168411	74.6984488724222	120.526140437616	74.2679104370076	1.6217144828426
DH_KE0094	5.51036957849586	71.0610311758929	188.480119838362	75.5522845642194	2.95293578934749
DH_KE0095	3.17316125618922	47.4300011428994	103.933175624684	75.8800319743542	1.07039177398511
DH_KE0096	6.23003215020665	73.1582936341605	144.49634046694	73.9269079616217	1.01286641556631
DH_KE0097	3.30631029076238	54.1789032164747	129.023713761584	87.417784093879	2.46347103835323
DH_KE0098	5.50557827735441	76.9328211556986	150.475547364075	73.3164999306548	1.52993672062674
DH_KE0099	4.40381378441729	56.3794239352599	147.484903172607	79.8113719169901	7.63053305801177
DH_KE0100	4.99610454453358	66.6429153423498	136.242071792279	80.8227226621455	2.34661106449576
DH_KE0101	5.59507902384398	70.7061223116746	173.350896482442	81.3353709428523	1.70787065611454
DH_KE0102	5.30551532253782	67.1411038067997	144.621525632644	70.5137791660226	0.982470384268777
DH_KE0103	4.9117291134696	61.2781538652474	127.005210218185	80.5841436764183	3.0612859362213
DH_KE0104	5.46237132498224	75.7171584977	151.643125651844	81.8363557055575	3.18440898094482
DH_KE0105	4.819768974374	76.0329752854761	133.697139264925	76.8597686374585	5.13402711098131
DH_KE0106	5.23588317375001	71.6536390800382	148.295008843388	83.8328645529831	2.35429728829653
DH_KE0107	5.34464270676592	80.1224479760018	152.705675684307	73.0938343101906	4.37030941311192
DH_KE0108	5.14616263143959	62.8497682887854	132.486243859001	75.1728382317612	3.98413367842111
DH_KE0109	6.61124499706095	75.194316416857	141.113946478896	70.2515770402649	0.984005113065352
DH_KE0110	5.04427829210163	66.7125459928026	134.429230060302	75.9116328409117	1.00225346157617
DH_KE0112	4.08562806193008	66.1175178419469	125.266514618093	78.7602476594822	2.26115316716011
DH_KE0113	5.13204906194592	70.5916747792697	120.536401233277	72.2189374189294	1.24263940908925
DH_KE0114	5.60555564645075	73.6385275465751	141.471776279972	84.1061974274778	2.05759214989337
DH_KE0116	6.13389720228002	84.9625361333199	186.35956015286	84.9717242201924	1.76098038052675
DH_KE0118	4.16108533636179	55.5922530597497	123.96928045593	81.3011883838697	1.07797607556352
DH_KE0119	5.59920914550123	67.2487023632602	120.773891362946	71.3570857344071	1.3786974419149
DH_KE0120	5.9777374714644	72.044827172403	150.832236462226	77.7627787019497	2.91654300712557
DH_KE0121	3.56905505206241	58.6852770156649	117.154642545649	76.7777296107601	3.64891460618331
DH_KE0122	2.5250555468766	33.5932976112871	106.033888650697	79.4744158826289	2.64838097707643
DH_KE0123	5.36509675365282	76.5289004104637	192.666424988323	85.4988897899984	5.02291962536674
DH_KE0124	5.70181103068045	83.2544654582606	185.678196995934	88.4517699729554	2.77934943453709
DH_KE0125	5.37157268375601	72.6603844332669	151.801058222169	78.7248205650146	4.83239663701902
DH_KE0126	5.11842065437865	70.9858066742504	149.199531978661	80.7958034835012	1.35093888021971
DH_KE0127	4.10084247898529	59.9415126512168	129.825215923195	81.0267348138095	1.33915407919678
DH_KE0129	3.73558658567343	54.5451892540642	128.214896702992	80.4055247963172	1.0014607011654
DH_KE0130	5.90736990074107	78.1281341864202	151.350069065096	74.4359937261711	2.20468386727195
DH_KE0132	5.3413013206113	71.9063158148832	208.55856274709	79.4137016852514	4.27567404604597
DH_KE0133	5.00338874240174	68.8745135775235	132.538203043379	75.9500153185198	2.16097860538989
DH_KE0134	4.2299297262397	49.6613007080724	110.739832019294	86.0825879495631	1.60777242301671
DH_KE0135	4.5378502444061	55.5699389563964	133.592435577873	84.2108384069519	NA
DH_KE0136	6.44627797973723	74.6379743628896	131.604371797844	78.8568687898339	1.4735325276416
DH_KE0137	6.09193519404338	72.086886785243	128.559558516187	67.4578730877707	1.08473249687819
DH_KE0138	6.1928378110283	76.7765294776509	175.249532282775	81.9503780761968	5.98627365982728
DH_KE0139	6.0036018867492	79.8328241556093	166.5085323766	80.6960636728028	7.74832193862641
DH_KE0140	5.90546903632347	73.9671715025062	130.483051317947	80.1912381268995	4.0945089399605
DH_KE0141	5.90746451051276	73.869123307986	155.779119490521	78.357193946355	1.03404173208761
DH_KE0142	5.67628866099129	74.1643065669233	154.78586360031	84.4815271772777	2.45504250715907
DH_KE0143	5.33848409339632	69.3502454616063	134.245175907184	78.9888838228836	0.981234987406866
DH_KE0144	6.25800569401768	77.7896872926666	150.664990533281	70.1962796918375	1.74836164662472
DH_KE0145	5.71047774886837	73.586393748732	145.04965079046	73.7545200475307	0.998621327707535
DH_KE0146	6.11732155646256	79.3027417778317	179.942161282982	89.4583910168903	2.77251020409598
DH_KE0148	5.79097163811345	83.2009926811011	140.921315296533	81.0121259352194	2.29686502624555
DH_KE0149	5.99137488451357	71.1748985800623	161.817458111434	77.3496400551949	6.76967641760554
DH_KE0150	5.58302271999773	73.3849806600385	165.801525177406	75.007830156592	8.08892293771624
